epoch,loss_total,loss_rpn_cls,loss_rpn_box,loss_roi_cls,loss_roi_box,lr,map50,map50_95,ap_small,ap_medium,ap_large,precision,recall,f1
9,1.0928401736746984,0.06011685625732037,0.12432202678260147,0.4687746581421385,0.4396266335906487,0.00480202146725769,0.19792612126609746,0.09378465584515393,0.048313496985843016,0.11984623235262669,0.1806859799587232,0.09378465584515393,0.0366798183903867,0.05273472589932151
10,1.0802420877415393,0.058816720080998086,0.12237800301888949,0.46328021720673607,0.43576714677226597,0.004731834495470404,0.2142322875292469,0.1033494522426424,0.052624260920017964,0.12762726423404921,0.19956117435548118,0.1033494522426424,0.04128341693263812,0.058999293190015685
11,1.0701442541119857,0.057659722697867836,0.1211799022840218,0.4588220123460709,0.4324826155877003,0.004651701940254048,0.2186411521761551,0.10622972334332233,0.05617220784234432,0.1316128718505281,0.2069844853023389,0.10622972334332233,0.04333270817484454,0.06155585402570188
12,1.064292302087433,0.05672265547824307,0.12034227892920558,0.4566040736330901,0.430623295399975,0.004561981693052692,0.21768000875296548,0.1057043741383075,0.05543729341838221,0.1292035325420545,0.20797533213318015,0.1057043741383075,0.04010667203785298,0.05814992454563076
13,1.0551470598444872,0.056242345367778536,0.11889030624503469,0.453108188567519,0.42690621956008296,0.004463074466270259,0.21962491519405447,0.10796812685018144,0.05731712711785431,0.13347319438873392,0.21132720225143103,0.10796812685018144,0.04149859201758491,0.0599534837052584
14,1.0485780594752414,0.05558398134957487,0.11837477522586952,0.44949553037721557,0.4251237727390743,0.004355422003591654,0.22888868429820067,0.11390477559627468,0.06123903250858285,0.142321912630679,0.24534621762206302,0.11390477559627468,0.04624270020568527,0.06578017372447306
15,1.0456529509109176,0.055025558971110416,0.11668776909189538,0.4495002550034103,0.4244393676490605,0.0042395051070482324,0.2274019015996738,0.11322527308685758,0.05903265507152526,0.13796844178764558,0.22207015631729338,0.11322527308685758,0.044574844896660464,0.06396698621931134
16,1.032695053487878,0.05467849652415323,0.11645905522498629,0.4419004573853805,0.41965704375339624,0.004115841489639211,0.23650890985900472,0.11708339910201349,0.06377081424099795,0.1480297667623358,0.23538260139755096,0.11708339910201349,0.045565795933346045,0.06560128710756968
17,1.0341221302931976,0.0548123686763327,0.11600276803651068,0.4433777466750311,0.4199292467927223,0.003984983463099741,0.24406577921291586,0.12030066185664946,0.06607241879343548,0.1500995894528591,0.24036392694708344,0.12030066185664946,0.04916037161450352,0.06979805470560109
18,1.0337230682326985,0.05424157523160003,0.11500694391690483,0.4446924253123621,0.41978212400833276,0.0038475154711426155,0.2399146779154635,0.1205721358102129,0.06257712000850255,0.15319134297827172,0.23761629976776377,0.1205721358102129,0.04717012769585782,0.06781121136503827
19,1.028077547033382,0.053657314317643506,0.11797850116636817,0.4402268374882857,0.4162148922578168,0.0037040514791907763,0.24800822408483741,0.12357692184560863,0.06558443569235527,0.15508647706443715,0.258020737141594,0.12357692184560863,0.04907054898385172,0.07024704581613601
20,1.0238025359199072,0.053330747462259215,0.11416184437249599,0.43952727295124366,0.41678267046003104,0.0035552322322586964,0.24086267971586797,0.12171390068487167,0.06507685164713842,0.15106992252154136,0.2561470036294506,0.12171390068487167,0.047939702180616654,0.06878637472497635
21,1.0241646714427926,0.052521467185903115,0.1121189195769256,0.4412819256220111,0.41824235818370414,0.0034017223932295945,0.2492416422203026,0.12482272444924848,0.06734206531659266,0.15806803058015334,0.2376195561102596,0.12482272444924848,0.04747579683487358,0.06878826657549539
22,1.0180294493158597,0.052953038781512834,0.11476211282856463,0.43613962051120386,0.4141746777413525,0.0032442075743096574,0.2560504101266983,0.12979726228319563,0.06956849435974023,0.1634177599102394,0.2532538156331413,0.12979726228319563,0.05095918919149482,0.07318536285996505
23,1.016929921579232,0.05234613981374311,0.11232995081202082,0.43754083706063135,0.41471299372233417,0.0030833912749174837,0.2482793327103443,0.12636100219036003,0.06722865403115519,0.1547975343534001,0.2535577374240723,0.12636100219036003,0.04756860648169634,0.06911780959801248
24,1.0178213179180575,0.05275760589029289,0.11176548867970072,0.4379915345604121,0.41530668816573835,0.00291999173968491,0.24761654821696802,0.12828105730980435,0.06638889991244491,0.16031231380874159,0.25508801507477263,0.12828105730980435,0.049435368903455255,0.07136786988756483
