epoch,loss_total,loss_rpn_cls,loss_rpn_box,loss_roi_cls,loss_roi_box,lr,map50,map50_95,ap_small,ap_medium,ap_large,precision,recall,f1
1,1.8426,0.4339,0.3901,0.5438,0.4457,0.0045,0.0516,0.0257,0.0118,0.0286,0.0445,0.3668,0.2346,0.2739
2,1.6249,0.4182,0.3139,0.4858,0.3998,0.004,0.1068,0.0449,0.0152,0.0477,0.131,0.4331,0.293,0.3217
3,1.4024,0.3899,0.3105,0.4007,0.3274,0.0035,0.1479,0.0631,0.0251,0.0953,0.2049,0.4669,0.3055,0.3805
4,1.2465,0.2968,0.2152,0.3404,0.3225,0.003,0.2019,0.0703,0.0351,0.1194,0.2496,0.4812,0.364,0.4019
5,0.9946,0.2998,0.2064,0.2873,0.2766,0.0025,0.2509,0.0952,0.0597,0.1451,0.3067,0.5739,0.3884,0.4464
